Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed	Parsimony	default~rq_126_sn sum	default~rq_127n_sn sum	default~rq_127c_sn sum	default~rq_128n_sn sum	default~rq_128c_sn sum	default~rq_129n_sn sum	default~rq_129c_sn sum	default~rq_130n_sn sum	default~rq_130c_sn sum	default~rq_131_sn sum	default~rq_131c_sn sum
sp|Q92997|DVL3_HUMAN	DVL3	DVL3_HUMAN Segment polarity protein dishevelled homolog DVL-3	1970	19	C	UR	1912.95	1730.64	1493.26	2072.31	2229.66	1923.98	2608.49	1801.02	2937.28	2085.68	2054.51
sp|O14640|DVL1_HUMAN	DVL1	DVL1_HUMAN Segment polarity protein dishevelled homolog DVL-1	1970	9	C	UR	1057.34	1377.81	620.952	987.632	610.773	1225.39	1541.87	1135.24	2296.87	1237.37	1113.08
sp|Q6NZY4|ZCHC8_HUMAN	ZCCHC8	ZCHC8_HUMAN Zinc finger CCHC domain-containing protein 8	1971	110	C	UR	17513.6	27324.3	15952.1	17522.3	12696.4	12984.2	23433.2	31845.2	22311.5	20612.5	19418.5
sp|Q9BXC9|BBS2_HUMAN	BBS2	BBS2_HUMAN Bardet-Biedl syndrome 2 protein	1972	1	C	UR	52.8739	107.692	60.0129	109.218	110.401	123.988	206.337	222.309	176.793	111.394	127.055
sp|Q13200|PSMD2_HUMAN	PSMD2	PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2	1973	355	C	UR	41518.6	39489.7	42686.9	47093.2	51171.1	65744.5	66166	65000.7	67507.3	61231.2	55233.9
sp|Q9H4I2|ZHX3_HUMAN	ZHX3	ZHX3_HUMAN Zinc fingers and homeoboxes protein 3	1974	32	C	UR	2346.4	2757.07	3075.2	2973.67	4825.09	4014.48	3871.91	5301.62	6970.52	5165.58	5492.02
sp|Q9Y6X8|ZHX2_HUMAN	ZHX2	ZHX2_HUMAN Zinc fingers and homeoboxes protein 2	1974	53	C	UR	5074.35	5110.12	11394.5	4899.78	10628.5	8681.48	10459.2	7511.43	7859.09	4845.61	4983.27
sp|Q12797|ASPH_HUMAN	ASPH	ASPH_HUMAN Aspartyl/asparaginyl beta-hydroxylase	1975	161	C	UR	118461	6601.7	34609.1	6732	23992.5	20631.8	11158.1	14180.7	26065.3	18670.9	18158.6
sp|O43824|GTPB6_HUMAN	GTPBP6	GTPB6_HUMAN Putative GTP-binding protein 6	1976	49	C	UR	5615.41	10666.6	8098.84	8124	8614.25	10935.6	6823.37	4263.65	5043.24	6793.53	7358.35
sp|Q96EV8|DTBP1_HUMAN	DTNBP1	DTBP1_HUMAN Dysbindin	1977	16	C	UR	4094.77	3689.62	3609.61	3387.38	5604.83	3256.11	2705.81	4259.52	4898.4	2758.85	3432.65
sp|Q13523|PRP4B_HUMAN	PRPF4B	PRP4B_HUMAN Serine/threonine-protein kinase PRP4 homolog	1978	107	C	UR	21851.2	24057.5	33551.3	15980	21649.4	15783.5	21138.5	19494.6	17338	27161.3	26405.7
sp|P12830|CADH1_HUMAN	CDH1	CADH1_HUMAN Cadherin-1	1979	116	C	UR	82234.4	1941.66	35933.3	24234.1	3900.71	3182.67	5450.97	2097.26	2864.16	8210.26	9983.77
sp|P22223|CADH3_HUMAN	CDH3	CADH3_HUMAN Cadherin-3	1979	60	C	UR	9595.92	2382.8	29147.2	4068.57	10038.5	1815.17	9034.41	1428.27	2223.98	16976.8	15774.5
sp|P23378|GCSP_HUMAN	GLDC	GCSP_HUMAN Glycine dehydrogenase (decarboxylating), mitochondrial	1980	64	C	UR	1917.63	1253.55	1394.33	7910.24	6669.59	4713.79	74100.5	2066.4	9136.7	6449.84	7888.88
sp|Q96NT0|CC115_HUMAN	CCDC115	CC115_HUMAN Coiled-coil domain-containing protein 115	1981	16	C	UR	3577.63	2630.55	1816.73	2278.01	2104.05	1077.43	1146.68	866.013	845.329	1195.4	1255.64
sp|Q8N511|TM199_HUMAN	TMEM199	TM199_HUMAN Transmembrane protein 199	1982	27	C	UR	6656.44	4533.56	3520.44	4347.02	7305.53	2424.39	3033.08	2475.38	2454.89	2880.76	2988.48
sp|Q13472|TOP3A_HUMAN	TOP3A	TOP3A_HUMAN DNA topoisomerase 3-alpha	1983	43	C	UR	6198.5	5160.44	7342.09	3971.24	4780.74	8032.71	9065.42	6157.57	5639.04	7830.68	8149.41
sp|O95985|TOP3B_HUMAN	TOP3B	TOP3B_HUMAN DNA topoisomerase 3-beta-1	1983	37	C	UR	3639.07	4022.45	4972.5	6092.54	5859.09	4351.12	4927.41	6141.59	6872.26	5259.65	5507.33
sp|Q9BW71|HIRP3_HUMAN	HIRIP3	HIRP3_HUMAN HIRA-interacting protein 3	1984	31	C	UR	3693.46	3670.58	3282.28	5818.22	2870.82	4437.94	3337.33	3625.69	4307.07	2620.55	2813.36
sp|Q9Y3X0|CCDC9_HUMAN	CCDC9	CCDC9_HUMAN Coiled-coil domain-containing protein 9	1985	48	C	UR	4759.74	10047.1	5449.5	9127.21	7869.18	4903.63	8181.92	7242.7	5704.1	6082.27	7329.27
sp|Q1MSJ5|CSPP1_HUMAN	CSPP1	CSPP1_HUMAN Centrosome and spindle pole-associated protein 1	1986	10	C	UR	1110.67	1015.95	903.033	1093.68	1006.35	1524.44	1231.32	2683.57	1705.37	1039.31	1396.85
sp|Q9HAU5|RENT2_HUMAN	UPF2	RENT2_HUMAN Regulator of nonsense transcripts 2	1986	65	C	UR	9658.82	9316.85	10434.7	7967.51	9521.67	9410.18	10398.5	11032.9	12613.2	10976.7	11846.2
sp|Q15459|SF3A1_HUMAN	SF3A1	SF3A1_HUMAN Splicing factor 3A subunit 1	1986	257	C	UR	48083.9	38920.1	40706.8	37065.7	34395.3	51337.4	49222.7	46782.7	44069.3	40205.6	40442
sp|Q96QU8|XPO6_HUMAN	XPO6	XPO6_HUMAN Exportin-6	1987	17	C	UR	1883.11	1232.92	950.468	2158.04	1717.2	2433.33	2173.49	3253.08	2420.63	3088.48	2790.96
sp|Q96GZ6-5|S41A3_HUMAN	SLC41A3	S41A3_HUMAN Isoform 5 of Solute carrier family 41 member 3	1988	9	C	UR	1790.43	641.14	913.908	938.729	1654.8	502.258	703.663	585.656	962.717	1611.08	1297.57
sp|Q96JW4|S41A2_HUMAN	SLC41A2	S41A2_HUMAN Solute carrier family 41 member 2	1988	2	C	UR	184.675	80.6833	123.526	111.209	169.746	99.9182	141.609	161.888	138.642	202.499	147.673
sp|Q9NR19-2|ACSA_HUMAN	ACSS2	ACSA_HUMAN Isoform 2 of Acetyl-coenzyme A synthetase, cytoplasmic	1989	73	C	UR	37791.2	12183.3	21200.4	7204.48	6039.25	3884.37	6479.63	2929.65	4894.66	5689.9	6164.15
sp|Q8N1B4|VPS52_HUMAN	VPS52	VPS52_HUMAN Vacuolar protein sorting-associated protein 52 homolog	1990	33	C	UR	4951.52	4644.83	5063.26	6334.44	5820.75	4123.17	4405.88	4355.89	3908.82	5027.37	5330.77
sp|Q9HB71|CYBP_HUMAN	CACYBP	CYBP_HUMAN Calcyclin-binding protein	1991	118	C	UR	16527.8	40411.2	24268.4	35040.6	31136.1	30167.9	23259.7	32036.1	20877.4	24205.3	20078.3
sp|Q7L7V1|DHX32_HUMAN	DHX32	DHX32_HUMAN Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	1992	22	C	UR	1437.45	2456.29	2436.69	5868.58	3287.5	1975.99	976.698	1327.4	2046.55	2625.87	2516.16
sp|O75113|N4BP1_HUMAN	N4BP1	N4BP1_HUMAN NEDD4-binding protein 1	1993	26	C	UR	2900.75	5453.1	2476.28	3144.84	3882.84	2297.71	2151.98	4053.86	3425.97	3173.9	2659.42
sp|Q6NWY9|PR40B_HUMAN	PRPF40B	PR40B_HUMAN Pre-mRNA-processing factor 40 homolog B	1994	9	C	UR	1814.04	1150.43	3498.75	1432.31	2712.86	1271.44	1678.62	888.478	1696.52	1018.77	1109.02
sp|O75400|PR40A_HUMAN	PRPF40A	PR40A_HUMAN Pre-mRNA-processing factor 40 homolog A	1994	123	C	UR	28671	22145.2	20847.2	20478.7	17598.7	26395.2	24052	14366.6	23154.8	22761.9	26837.8
sp|Q12981-1|SEC20_HUMAN	BNIP1	SEC20_HUMAN Isoform 3 of Vesicle transport protein SEC20	1995	40	C	UR	9589.57	7331.28	6770.2	5547.16	6549.87	6860.01	5897.1	6392.11	4304.94	6827.82	5861.33
sp|Q14542|S29A2_HUMAN	SLC29A2	S29A2_HUMAN Equilibrative nucleoside transporter 2	1996	3	C	UR	292.569	271.5	544.728	445.063	329.567	348.227	491.97	125.858	84.1478	265.726	208.168
sp|Q16649|NFIL3_HUMAN	NFIL3	NFIL3_HUMAN Nuclear factor interleukin-3-regulated protein	1997	4	C	UR	286.417	882.631	279.599	293.483	258.796	527.875	464.276	411.226	519.096	651.792	676.477
sp|P14373|TRI27_HUMAN	TRIM27	TRI27_HUMAN Zinc finger protein RFP	1998	45	C	UR	5225.78	10287	6641.09	6376.08	7954.09	8677.85	5699.59	9016.34	5507.71	7457.71	7021.58
sp|Q9HCM9|TRI39_HUMAN	TRIM39	TRI39_HUMAN E3 ubiquitin-protein ligase TRIM39	1998	3	C	UR	335.243	592.184	500.972	335.118	442.842	555.282	498.341	741.517	493.404	605.061	507.265
tr|A6ZJ12|A6ZJ12_HUMAN	TRIM39R	A6ZJ12_HUMAN Protein TRIM39-RPP21 (Fragment)	1998	8	C	UR	2373.72	1498.94	1705.9	1537.63	1074.59	1585.37	1027.16	971.407	836.751	1220.94	1047.34
sp|Q8TF05|PP4R1_HUMAN	PPP4R1	PP4R1_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 1	1999	70	C	UR	4050.99	5807.64	8223.32	10170.3	5206.62	6750.46	16043.5	15751.8	16221.4	11039.7	10198.8
sp|Q9UI10-2|EI2BD_HUMAN	EIF2B4	EI2BD_HUMAN Isoform 2 of Translation initiation factor eIF-2B subunit delta	2000	59	C	UR	6675.72	7113.98	7273.43	5577.28	8304.21	6113.33	4938.39	5646.8	7221.14	7041.28	7628.62
sp|Q9UI10|EI2BD_HUMAN	EIF2B4	EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta	2000	4	C	UR	371.948	371.791	403.134	284.935	383.994	345.62	252.896	291.66	358.954	287.114	381.011
sp|Q8N4L2|TM55A_HUMAN	TMEM55A	TM55A_HUMAN Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	2001	7	C	UR	810.965	599.566	310.905	293.493	245.364	767.482	369.313	550.082	545.453	1359.8	1181.82
sp|Q86T03-2|TM55B_HUMAN	TMEM55B	TM55B_HUMAN Isoform 2 of Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	2001	22	C	UR	4123.99	3068.27	3820.25	2828.71	3883.74	1883.93	2130.51	2613.88	1724.93	3064.61	2861.78
sp|Q9ULH7|MKL2_HUMAN	MKL2	MKL2_HUMAN MKL/myocardin-like protein 2	2002	54	C	UR	6482.78	13084.6	7342.6	12635	11045.1	4859.83	8881.39	8629.83	9052.97	6488.12	6555.04
sp|Q969V6|MKL1_HUMAN	MKL1	MKL1_HUMAN MKL/myocardin-like protein 1	2002	24	C	UR	2320.24	3402.59	2136.06	3219.45	2692.27	2126.56	2921.86	4613.45	7054.34	3232.47	3320.4
sp|O15525|MAFG_HUMAN	MAFG	MAFG_HUMAN Transcription factor MafG	2003	11	C	UR	1162.99	879.911	946.734	1479.17	1039.77	1996.86	1728.46	1382.38	1736.67	1796.31	1746.96
sp|Q9ULX9|MAFF_HUMAN	MAFF	MAFF_HUMAN Transcription factor MafF	2003	5	C	UR	732.262	313.332	513.165	472.477	813.164	635.875	424.41	1713.41	744.479	998.013	937.896
sp|O60675|MAFK_HUMAN	MAFK	MAFK_HUMAN Transcription factor MafK	2003	4	C	UR	1062.96	412.797	682.596	839.824	458.17	613.602	431.401	574.74	411.114	863.705	854.364
sp|Q8WTW3|COG1_HUMAN	COG1	COG1_HUMAN Conserved oligomeric Golgi complex subunit 1	2004	87	C	UR	13890.4	11894	17574.5	20332.2	25815.2	7425.52	8703.42	10821.9	10092.7	11757.5	11670.5
sp|Q6WKZ4|RFIP1_HUMAN	RAB11FIP1	RFIP1_HUMAN Rab11 family-interacting protein 1	2005	159	C	UR	19035.6	67016.3	13371.4	51749.1	22463.5	8668.25	14949.9	19218.3	16081.4	14383.9	15661.5
sp|Q7L804|RFIP2_HUMAN	RAB11FIP2	RFIP2_HUMAN Rab11 family-interacting protein 2	2005	9	C	UR	587.476	787.081	756.353	642.249	865.192	2737.21	4805.92	857.828	1894.45	1201.68	1386.86
sp|Q14247|SRC8_HUMAN	CTTN	SRC8_HUMAN Src substrate cortactin	2006	232	C	UR	34401.1	77210.9	23764.8	90254.1	33484.6	36992.8	20542.6	25416.3	21046.2	16464.6	20951.5
sp|Q6P1S2|CC033_HUMAN	C3orf33	CC033_HUMAN Uncharacterized protein C3orf33	2007	6	C	UR	3527.73	880.47	1412.33	934.951	1687.05	333.603	691.438	534.163	514.964	620.915	595.799
sp|Q9NWK9|BCD1_HUMAN	ZNHIT6	BCD1_HUMAN Box C/D snoRNA protein 1	2008	39	C	UR	5243.79	4440.39	4936.5	3475.95	5296.43	12744.9	16786.3	12206.3	7107.16	6320.88	6715.62
tr|B9EGP5|B9EGP5_HUMAN	MON2	B9EGP5_HUMAN MON2 protein	2009	106	C	UR	18464.6	16752.9	16505.3	19647.5	24709.6	20189.4	16620.4	17156.2	22179.3	17454.4	16729.9
sp|P34741|SDC2_HUMAN	SDC2	SDC2_HUMAN Syndecan-2	2010	22	C	UR	573.423	3339.21	319.319	992.368	645.874	4770.24	8843.28	5855.75	6007.93	2337.65	2290.59
sp|P42566|EPS15_HUMAN	EPS15	EPS15_HUMAN Epidermal growth factor receptor substrate 15	2011	123	C	UR	14584.8	20041.4	13951.1	20092	32009.6	20692.8	23426	31200.7	27868.1	24912.9	25183.3
sp|Q04726|TLE3_HUMAN	TLE3	TLE3_HUMAN Transducin-like enhancer protein 3	2012	61	C	UR	13593.8	15645.2	11977.1	10586.6	16559.2	14101.4	7710.04	4785.89	6413.25	6949.65	8344.92
sp|Q04724|TLE1_HUMAN	TLE1	TLE1_HUMAN Transducin-like enhancer protein 1	2012	42	C	UR	3524.34	8577.53	6165.92	9307.16	2343.74	19850.7	8530.74	7576.6	9099.02	5063.02	5540.37
sp|Q8WZ82|OVCA2_HUMAN	OVCA2	OVCA2_HUMAN Ovarian cancer-associated gene 2 protein	2013	23	C	UR	2011.46	1972.75	6041.49	2355.25	2001.47	1739.93	1654.92	2232.82	1331.75	2274.41	2358.29
sp|Q3MIX3|ADCK5_HUMAN	ADCK5	ADCK5_HUMAN Uncharacterized aarF domain-containing protein kinase 5	2014	27	C	UR	3488.18	2328.47	7401.26	2110.83	6809.04	1878.01	1978.85	1335.66	1526.58	2103.8	1907.43
sp|Q16890|TPD53_HUMAN	TPD52L1	TPD53_HUMAN Tumor protein D53	2015	35	C	UR	9599.66	9490.52	9646.27	9076.2	5189.59	2205.18	5546.8	1839.28	6206.67	4888.98	6458.58
sp|O43399-7|TPD54_HUMAN	TPD52L2	TPD54_HUMAN Isoform 7 of Tumor protein D54	2015	111	C	UR	19584	8646.8	18255.5	23421.3	12777	17568.8	17845.2	22139.5	15177.2	16053.3	16312.3
sp|Q9H501|ESF1_HUMAN	ESF1	ESF1_HUMAN ESF1 homolog	2016	85	C	UR	11090.5	9664.33	7022.85	11585.3	11257.6	16704.9	34353.8	17000	18354.8	23952.5	23578
sp|Q02252|MMSA_HUMAN	ALDH6A1	MMSA_HUMAN Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	2017	155	C	UR	47446.8	52761.4	42166.7	31051.2	50818.2	9976.07	15520.7	5128.42	7845.63	11149.7	10196.3
sp|Q7L7X3|TAOK1_HUMAN	TAOK1	TAOK1_HUMAN Serine/threonine-protein kinase TAO1	2018	67	C	UR	7789.94	9400.88	6954.1	12269.8	8208.07	7839.61	12620.3	9476.54	14544.9	12252.7	11451.8
sp|Q9H2K8|TAOK3_HUMAN	TAOK3	TAOK3_HUMAN Serine/threonine-protein kinase TAO3	2018	43	C	UR	7038.3	11360.4	10222.4	8747.57	9260.43	2867.44	3868.04	3708.65	5099.38	6441.61	6149.59
sp|O60610|DIAP1_HUMAN	DIAPH1	DIAP1_HUMAN Protein diaphanous homolog 1	2019	281	C	UR	47284.1	53805.8	23241.3	43880.8	28493.3	71420.8	42686.2	48631.3	37355.9	56530.1	54240.1
sp|Q5VT06|CE350_HUMAN	CEP350	CE350_HUMAN Centrosome-associated protein 350	2019	33	C	UR	4587.55	6101.65	5325.11	6164.42	5381.88	5408.51	4354.14	4509.05	4955.5	5755.51	6319.5
sp|Q5T013|HYI_HUMAN	HYI	HYI_HUMAN Putative hydroxypyruvate isomerase	2020	12	C	UR	746.092	1836.52	1538.45	904.81	731.989	1277.31	421.658	926.343	651.541	1413.39	1779.42
sp|Q6P1X5|TAF2_HUMAN	TAF2	TAF2_HUMAN Transcription initiation factor TFIID subunit 2	2021	52	C	UR	3956.77	4361.13	4269.69	4752.07	5942.71	10511.6	6025.04	11496.8	5652.79	9857.81	10122.5
sp|Q9Y6R7|FCGBP_HUMAN	FCGBP	FCGBP_HUMAN IgGFc-binding protein	2022	13	C	UR	10669.8	701.666	1572.09	740.693	942.762	669.601	685.423	597.824	656.65	570.868	670.941
sp|Q9HB40|RISC_HUMAN	SCPEP1	RISC_HUMAN Retinoid-inducible serine carboxypeptidase	2023	70	C	UR	28301.2	8265.63	20302.3	5996.39	21800.7	5705.83	17575.8	5965.76	5505.29	10438.1	10194.3
sp|Q8NCE0|SEN2_HUMAN	TSEN2	SEN2_HUMAN tRNA-splicing endonuclease subunit Sen2	2024	18	C	UR	1642.3	1893.63	1756.75	1484.46	1899.28	3292.71	2711.58	2551.88	2214.27	2119.44	1995.04
sp|Q9HBR0|S38AA_HUMAN	SLC38A10	S38AA_HUMAN Putative sodium-coupled neutral amino acid transporter 10	2025	65	C	UR	12334.6	11996.5	11561.8	13213	14074.3	5035.73	3544.8	3087.15	5892.04	5064.42	6161.64
sp|P61601|NCALD_HUMAN	NCALD	NCALD_HUMAN Neurocalcin-delta	2026	30	C	UR	7658.57	3846.01	4635.57	2857.07	15433.7	2772.62	4047.79	2137.67	3824	4210.09	4627.63
sp|P37235|HPCL1_HUMAN	HPCAL1	HPCL1_HUMAN Hippocalcin-like protein 1	2026	37	C	UR	12295.5	6933.01	10300.5	6841.82	7499.37	7061.62	2229.44	4829.9	6006.35	8376.85	16458.3
##sp|Q702N8|XIRP1_HUMAN	##XIRP1	##XIRP1_HUMAN ##Xin actin-binding repeat-containing protein 1	2027	1	C	UR	26.0267	35.4249	50.6857	62.5241	66.4481	98.6428	99.7651	97.8068	83.2761	57.461	119.223
sp|P16422|EPCAM_HUMAN	EPCAM	EPCAM_HUMAN Epithelial cell adhesion molecule	2028	102	C	UR	44639.2	21621.6	48886.2	13195.5	10475.6	4867.38	23400.2	2106.12	4262.56	13415.2	11787.8
sp|P86791|CCZ1_HUMAN	CCZ1	CCZ1_HUMAN Vacuolar fusion protein CCZ1 homolog	2029	43	C	UR	6391.01	4719.87	5022.34	6527.88	4911.85	5299.16	5277.35	6203.28	4301.81	6233.57	5640.66
sp|Q13546|RIPK1_HUMAN	RIPK1	RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1	2030	73	C	UR	8622.47	8543.01	11611.3	8442.19	11686.3	9042.27	9649.15	17620.8	21361.4	11731.6	11431.5
sp|Q9Y5Z4|HEBP2_HUMAN	HEBP2	HEBP2_HUMAN Heme-binding protein 2	2031	33	C	UR	3148.2	6681.36	12649.9	6192.22	14513.2	2084.08	3069.67	1945.32	4864.77	3952.21	4051.93
sp|Q9HD20|AT131_HUMAN	ATP13A1	AT131_HUMAN Probable cation-transporting ATPase 13A1	2032	156	C	UR	49364.2	46275.7	37827.9	29143.5	23802.8	21803.3	9871.15	12319.1	24775.3	23232.3	22865
sp|Q68CP9|ARID2_HUMAN	ARID2	ARID2_HUMAN AT-rich interactive domain-containing protein 2	2033	91	C	UR	12471.4	17112.5	7783.74	13287.3	12760.2	18873.3	17415.6	10682.1	14510.9	17304.8	15844.5
sp|P50440-2|GATM_HUMAN	GATM	GATM_HUMAN Isoform 2 of Glycine amidinotransferase, mitochondrial	2034	30	C	UR	2052.84	518.57	12776.7	1729.45	17739.2	909.212	1567.67	2632.67	800.768	1549.24	1850.01
sp|P51532-4|SMCA4_HUMAN	SMARCA4	SMCA4_HUMAN Isoform 4 of Transcription activator BRG1	2035	181	C	UR	27545.8	29892.8	29627.1	24154.9	24944.4	32665	36303.7	33965	26921.2	38552.9	32896.4
sp|Q6ZRS2|SRCAP_HUMAN	SRCAP	SRCAP_HUMAN Helicase SRCAP	2035	93	C	UR	17648.7	13566	9604.63	11740.5	13685.7	17018.6	13906.9	11964	11421.7	14568	12852.4
sp|P51531|SMCA2_HUMAN	SMARCA2	SMCA2_HUMAN Probable global transcription activator SNF2L2	2035	50	C	UR	11712	13199.1	2043.16	14947	12534	9103.53	9448.51	3869.33	3982.43	7524.56	7532.78
sp|Q9H7D7|WDR26_HUMAN	WDR26	WDR26_HUMAN WD repeat-containing protein 26	2036	90	C	UR	6685.58	10682.5	15958	18419.9	16169.6	9477.23	10231.8	12080.5	10143.8	10604.2	10377.5
sp|P59998-3|ARPC4_HUMAN	ARPC4	ARPC4_HUMAN Isoform 3 of Actin-related protein 2/3 complex subunit 4	2037	63	C	UR	5818.06	8245.81	5621.19	7872.76	6612.46	6764.25	7872.55	7024.91	8310.39	6156.69	7354.62
sp|Q9UHD2|TBK1_HUMAN	TBK1	TBK1_HUMAN Serine/threonine-protein kinase TBK1	2038	72	C	UR	6092.88	15243.5	7665.59	16956.2	12118.9	9748.26	9993.43	11562.6	13101.5	10699.8	12259.5
sp|Q9NQT4|EXOS5_HUMAN	EXOSC5	EXOS5_HUMAN Exosome complex component RRP46	2039	43	C	UR	5916.96	7090.24	5642.3	7550.77	3761.5	10486	6278.88	12193.7	7058.38	9314.12	9379.95
sp|Q15035|TRAM2_HUMAN	TRAM2	TRAM2_HUMAN Translocating chain-associated membrane protein 2	2040	5	C	UR	179.028	294.163	265.549	187.743	201.202	622.745	396.437	693.235	749.316	2135.92	2344.13
sp|Q14596|NBR1_HUMAN	NBR1	NBR1_HUMAN Next to BRCA1 gene 1 protein	2041	75	C	UR	96763.8	2590.63	10342.6	3541.57	4154.27	3920	2801.09	3692.8	4066.09	5142.85	5348.65
sp|Q9Y6M5|ZNT1_HUMAN	SLC30A1	ZNT1_HUMAN Zinc transporter 1	2042	37	C	UR	2840.41	18595.6	2625.32	5651.04	3946.69	8264.56	9843.59	4264.79	7483.45	10157	10786.6
sp|Q92544|TM9S4_HUMAN	TM9SF4	TM9S4_HUMAN Transmembrane 9 superfamily member 4	2043	93	C	UR	19202	14728.6	18613.2	18685.2	22192.7	11132.3	11707.1	7859.81	8704.62	15039.5	12397.4
sp|P27448|MARK3_HUMAN	MARK3	MARK3_HUMAN MAP/microtubule affinity-regulating kinase 3	2044	44	C	UR	6113.4	6392.82	5728.68	7847.97	6663.48	6105.99	8837.69	7029.7	7324	5286.57	6258.93
tr|E9PC69|E9PC69_HUMAN	MARK2	E9PC69_HUMAN Serine/threonine-protein kinase MARK2	2044	83	C	UR	14890.4	7662.07	20645.9	9566.91	15504.4	7832.83	11186.5	10021.4	10029.4	11137.4	13053.5
sp|Q9P0L2|MARK1_HUMAN	MARK1	MARK1_HUMAN Serine/threonine-protein kinase MARK1	2044	36	C	UR	6348.71	5917.5	7481.01	7310.56	7746.55	5578.22	7389.81	6357.31	6163.65	6765.82	5841.98
sp|Q9H0K1|SIK2_HUMAN	SIK2	SIK2_HUMAN Serine/threonine-protein kinase SIK2	2045	10	C	UR	656.146	826.784	864.437	1330.82	955.266	1901.82	1301.76	2144.62	3048.4	1245.63	1244.92
sp|Q9Y2K2|SIK3_HUMAN	SIK3	SIK3_HUMAN Serine/threonine-protein kinase SIK3	2045	17	C	UR	1090.28	2368.35	1355.98	2431.55	946.35	2267.14	3370.79	3448.45	4724.11	2831.24	3027.47
sp|O94992|HEXI1_HUMAN	HEXIM1	HEXI1_HUMAN Protein HEXIM1	2046	48	C	UR	6138.33	5370.98	9378.35	4478.58	4896.53	6797.49	8740.93	7397.48	7757.71	4198.17	3783.79
sp|Q96MH2|HEXI2_HUMAN	HEXIM2	HEXI2_HUMAN Protein HEXIM2	2046	5	C	UR	657.416	530.196	476.277	478.294	357.817	544.776	414.387	267.649	318.321	285.319	262.593
sp|Q643R3|LPCT4_HUMAN	LPCAT4	LPCT4_HUMAN Lysophospholipid acyltransferase LPCAT4	2047	27	C	UR	3331.46	2777.53	2684.44	4117.45	2097.93	4644.6	7213.78	5425.54	3138.92	7479.98	6594.51
sp|Q5K651|SAMD9_HUMAN	SAMD9	SAMD9_HUMAN Sterile alpha motif domain-containing protein 9	2048	60	C	UR	3157.35	16695.5	1979.58	6585.58	1765.94	17416.5	4898.9	8234.11	20265.1	10574.9	10848.1
sp|Q8IVG5|SAM9L_HUMAN	SAMD9L	SAM9L_HUMAN Sterile alpha motif domain-containing protein 9-like	2048	7	C	UR	672.508	2300.58	2273.59	2883.17	1041.35	515.458	530.133	414.094	418.233	711.818	970.466
sp|Q15404|RSU1_HUMAN	RSU1	RSU1_HUMAN Ras suppressor protein 1	2049	55	C	UR	4430.63	8312	6089.24	4935.53	7704.84	7843.41	6902.34	15925.9	21195.5	13484.8	14427.3
sp|Q9BRB3-2|PIGQ_HUMAN	PIGQ	PIGQ_HUMAN Isoform 2 of Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	2050	26	C	UR	3853.57	3415.28	3105.28	2514.46	3171.84	1350.15	2130.06	2368.38	1733.16	1524.28	1579.78
sp|Q5T0B9|ZN362_HUMAN	ZNF362	ZN362_HUMAN Zinc finger protein 362	2051	7	C	UR	339.624	624.536	1106.11	417.982	851.889	780.365	579.469	366.724	750.418	598.624	756.871
sp|Q8TF68|ZN384_HUMAN	ZNF384	ZN384_HUMAN Zinc finger protein 384	2051	32	C	UR	2591.32	3205.3	2504.1	4007.55	2533.88	5739.47	4079.3	3697.53	2042.58	2699.64	2755.21
sp|Q8IXT5|RB12B_HUMAN	RBM12B	RB12B_HUMAN RNA-binding protein 12B	2052	55	C	UR	8401.37	6204.37	8443.58	4986.38	5195.22	6228.47	8703.26	7714.93	6387.8	8470.98	7726.3
sp|P51572-2|BAP31_HUMAN	BCAP31	BAP31_HUMAN Isoform 2 of B-cell receptor-associated protein 31	2053	236	C	UR	74291.7	83201.7	65100.3	49580.8	44021.6	21814.3	32011	17330.3	20691.5	37415.7	28031.8
sp|Q8IWZ3-6|ANKH1_HUMAN	ANKHD1	ANKH1_HUMAN Isoform 6 of Ankyrin repeat and KH domain-containing protein 1	2054	147	C	UR	20590.7	21862	17436.9	28749.4	20767.6	29716.4	23806.3	24334.3	31920.9	21134.4	22429.2
tr|D6RHC4|D6RHC4_HUMAN	ANKHD1	D6RHC4_HUMAN Ankyrin repeat and KH domain-containing protein 1 (Fragment)	2054	3	C	UR	229.035	284.642	239.793	435.254	382.862	409.749	398.567	522.57	457.999	349.582	341.274
sp|O95785|WIZ_HUMAN	WIZ	WIZ_HUMAN Protein Wiz	2054	74	C	UR	13235.1	9769.16	9962.67	8227.78	10543.4	24668.2	13809.1	12588.8	15192.5	14490.8	14123.6
tr|M0QXA7|M0QXA7_HUMAN	WIZ	M0QXA7_HUMAN Protein Wiz	2054	19	C	UR	3607.68	2673.94	2395	2085.51	2835.37	5361.21	2849.38	3192.54	4007.26	3519.62	3510.79
